id,degree,title,degreetitle,level
3606,BSc/BS,Computer Science,BSc/BS Computer Science,6
3607,BSc/BS,Computer Science,BSc/BS Computer Science,6
3608,MSc/MS,Computer Science,MSc/MS Computer Science,7
3608,BSc/BS,Computer Science,BSc/BS Computer Science,6
3609,BTech,Information Technology,BTech Information Technology,6
3610,BA,Aerospace Engineering,BA Aerospace Engineering,6
3611,MSc/MS,Computer Science,MSc/MS Computer Science,7
3612,BA,Computer Science,BA Computer Science,6
3613,BSc/BS,Computer Engineering,BSc/BS Computer Engineering,6
3613,MSc/MS,Computer Science,MSc/MS Computer Science,7
3614,MSc/MS,Computer Science,MSc/MS Computer Science,7
3614,MSc/MS,Information Technology,MSc/MS Information Technology,7
3615,BSc/BS,Electrical and Electronics Engineering,BSc/BS Electrical and Electronics Engineering,6
3616,BE/Beng,Computer Science,BE/Beng Computer Science,6
3617,BTech,Computer Science,BTech Computer Science,6
3618,BSc Hons,Computer Science,BSc Hons  Computer Science,6
3619,BSc Hons,Computer Science,BSc Hons  Computer Science,6
3620,BSc/BS,Computer Science,BSc/BS Computer Science,6
3621,BE/Beng,Computer Science and Engineering,BE/Beng Computer Science and Engineering,6
3622,MCA,/,MCA /,7
3623,BSc/BS,Computer Engineering,BSc/BS Computer Engineering,6
3624,MSc/MS,Computer Science,MSc/MS Computer Science,7
3625,BSc/BS,Computer Science,BSc/BS Computer Science,6
3626,BE/Beng,Computer Science and Engineering,BE/Beng Computer Science and Engineering,6
3627,BSc/BS,Software Engineering,BSc/BS Software Engineering,6
3628,BSc/BS,Computer Science,BSc/BS Computer Science,6
3629,MSc/MS,Computer Science,MSc/MS Computer Science,7
3630,BE/Beng,Computer Engineering,BE/Beng Computer Engineering,6
3630,BE/Beng,Computer Science,BE/Beng Computer Science,6
3630,MSc/MS,Mathematics,MSc/MS Mathematics,7
3630,MCA,/,MCA /,7
3630,BCA,/,BCA /,6
3631,MSc/MS,Computer Science,MSc/MS Computer Science,7
3632,BSc/BS,Computer Science,BSc/BS Computer Science,6
3633,BSc/BS,Computer Science,BSc/BS Computer Science,6
3634,BSc/BS,Computer Science,BSc/BS Computer Science,6
3635,BA,Computer Science,BA Computer Science,6
3636,MSc/MS,Computer Science,MSc/MS Computer Science,7
3637,BSc/BS,Computer Science and Engineering,BSc/BS Computer Science and Engineering,6
3638,BSc/BS,Computer Science,BSc/BS Computer Science,6
3639,BSc/BS,Computer Science,BSc/BS Computer Science,6
3640,BSc/BS,Computer Science,BSc/BS Computer Science,6
3641,BSc/BS,Information Systems,BSc/BS Information Systems,6
3642,BSc/BS,Computer Science,BSc/BS Computer Science,6
3643,BCA,/,BCA /,6
3644,MSc/MS,Electrical Engineering,MSc/MS Electrical Engineering,7
