id,degree,title,degreetitle,level
3205,BSc/BS,Computer Science,BSc/BS Computer Science,6
3206,BSc/BS,Computer Science,BSc/BS Computer Science,6
3207,BSc/BS,Computer Science,BSc/BS Computer Science,6
3208,MSc/MS,Computer Science,MSc/MS Computer Science,7
3209,BSc/BS,Computer Science,BSc/BS Computer Science,6
3210,MSc/MS,Computer Science,MSc/MS Computer Science,7
3211,MSc/MS,Computer Science,MSc/MS Computer Science,7
3212,MSc/MS,Computer Science,MSc/MS Computer Science,7
3213,BSc/BS,Information Technology,BSc/BS Information Technology,6
3214,MSc/MS,Computer Science,MSc/MS Computer Science,7
3215,BSc/BS,Computer Science,BSc/BS Computer Science,6
3216,BSc/BS,Computer Science and Engineering,BSc/BS Computer Science and Engineering,6
3217,MSc/MS,Computer Engineering,MSc/MS Computer Engineering,7
3218,BSc/BS,Computer Information Systems,BSc/BS Computer Information Systems,6
3219,MSc/MS,Computer Engineering,MSc/MS Computer Engineering,7
3220,BSc/BS,Computer Science,BSc/BS Computer Science,6
3221,BSc/BS,Computer Science,BSc/BS Computer Science,6
3222,MCA,/,MCA /,7
3223,BSc/BS,Informatics,BSc/BS Informatics,6
3224,BSc/BS,Computer Science,BSc/BS Computer Science,6
3225,BSc/BS,Computer Science,BSc/BS Computer Science,6
3226,BSc/BS,Computer Science,BSc/BS Computer Science,6
3227,MCA,/,MCA /,7
3228,BSc/BS,Computer Science and Engineering,BSc/BS Computer Science and Engineering,6
3229,BSc/BS,Computer Science,BSc/BS Computer Science,6
3230,BSc/BS,Computer Science,BSc/BS Computer Science,6
3230,MSc/MS,Computer Science,MSc/MS Computer Science,7
3231,BCA,/,BCA /,6
3232,BSc/BS,Computer Science,BSc/BS Computer Science,6
3233,BSc/BS,Computer Science,BSc/BS Computer Science,6
3234,BSc/BS,Computer Science,BSc/BS Computer Science,6
3235,BSc/BS,Computer Science,BSc/BS Computer Science,6
3236,BSc/BS,Computer Science,BSc/BS Computer Science,6
3237,BE/Beng,Computer Science,BE/Beng Computer Science,6
3238,BSc/BS,Computer Science,BSc/BS Computer Science,6
